winner_refer_hash,white_list_score,class
59A46C8166990C6B4AACEEF925ADBC657A41FFB429142F9939E0421F45E10DCD,88,TIER1
658037A4EAA963B266C49C7A57F39020684975E6F78CF474814012341F7256B6,63,TIER1
B20FCB026DF65C5E6F50A0C808F94C47D280A37F02A564B03AE21FC87D5206F4,88,TIER1
CAD503643453D8A911BF2439107793EBCF40922AA4C16871E3C8ECD53AB31285,78,TIER1
B57140977DAF68A9BD925FC87E1D9EAFD7640158465F30605F04CDC9430ABCB9,98,TIER1
D2710CDDE7D061D531752F30F7A0DBFF724AB49C718C954362E629A76F0DEED1,110,TIER1
A74171061E5ACA8120A968D7847AAE44A1C9DF4E38A6D15D1F332A8F4CC4E2F9,106,TIER1
85BB87890C9D411AA65D1486948D2798D636B8A356A5C80E2E7A453DFD6DB6F0,100,TIER1
64A0E5C3B3FE111311E5E1724DE4CA92695A89125A7F1BD8B3108393C40ACD39,98,TIER1
19DEBB2EA68D5593A2FCE090DB45413D8C13F2F0B75D2AC1057D2FBD256A187D,100,TIER1
A2BE332548D7BC8C2534D4415F65ADABE4818AB9BD0D129B19814AD357DC2341,90,TIER1
FCAF0BCF5787BB1C83750707A8933D3D04FB87131DD1A9BAB350363F0FF23990,86,TIER1
50DCC1E84C2F9571A994F1C49CD5E653DF69328F2CF3D82D85623BD4891DFDB3,119,TIER1
6DD45B5DF12BA103ED7520E665CA450CD1F1D9ADCBD257EAFFC5F2D49D006B55,86,TIER1
5FCB0FCA02BCB4A2DA5C357DA960001AA13B6131FB9AAFACEB943357C3A0E017,88,TIER1
27CF65750BBA3C48F3ED6EB2B72710F69995C9502CAB79F2C8E51A1D69165935,59,TIER1
4C947553A495050EA99DF9B3909B2B97BF43461A6F4E2855D23B1278DFACAAFA,102,TIER1
C27D4B3F5ACE3E9FFDADC1C73EB01A0EA3CA7F420E0CA5EE5AD01501611502AC,100,TIER1
D04DF7922ABCB3A06BC3FF1B509D77DC293EBF4019C58D8937077CED700E2D7B,111,TIER1
B7CDBF58A1E4C95AFA01DB8C72BDE2555FE9AFCF2544A07B40FE03E96CD800E0,100,TIER1
4DAAF759FFB1393CE4ABCC8B4AB0C0179D1A50495D7D19ACDF9774CE966307FD,63,TIER1
735F6698F8ED72372115D8AA941BBBD5F704AE4B14505F4214486574B015DFC0,86,TIER1
5BC4B65CD56713030F346B87AC3D58FD8793CBE9C5FDA4BFF15D29C605BA7A0D,111,TIER1
A519E75D73C051A8545AC5183870E628FC37CE93F68B1940945AA60B629F6418,80,TIER1
C002829CF5B3D342825C899A37A620110D8C9DD1A4B8D475261AC3CD294C8E12,84,TIER1
4A1FA62154FF36678549EE16A9BCC83F65291EAE7AE808B9DE9FA56DCA63949F,88,TIER1
2A2E27F9BAEC2F45A7E89255597EDD3FC3259AC185F6BD990EF3D6A426B5F02A,63,TIER1
2F71402BB555647EEB8745CC74E684D7DDE008843E9634FD15AAC49BD92F28FF,98,TIER1
BA8DDD66798468FE76D058BD7625788440CCCBFCD22AC891BD44D926C656CF6C,100,TIER1
F7A3F9C96B79AD54C4F176BC5E3FF0C85B38C058C357934C9D34ECB101051C36,108,TIER1
7BFED846B9DA4F4D5C7D524FF185F913D9A63446054A091267AE7C86251EDA49,88,TIER1
DCF7F216BF56F85DDDABB1E2B81D4FB1EC9C859082B1A41428574388FE15D2BE,90,TIER1
715078DCA9CAE9CC2E0AF44C4BB3691346E23336159CCB59EABD3F2E2B1F7ADE,111,TIER1
4CD9A34F1B22E1394234D0A40D307B0CEF0E5A6A3407E5D8B5F895204F245936,59,TIER1
D420B66152D2DEAAF8B825BB4DCE707A5A4324ED337834674E1163CAAB9E320E,86,TIER1
09469494362508A31764BE78EBB2B67F8BA3E413AB5B83BD949B73A7D657FF5E,78,TIER1
A1224E4E27C999D0FF22C52F41234F8A2A0CFE9888A2E59CC67C0251E3881BE6,98,TIER1
3D0D264ED37E0C267209222CF5FEBC4ABF33A08E80263A91C45097C09C421756,59,TIER1
4CF615CE633A882DC360785E901A5DDEE34E59C5BC8944B5244F63661374A5CC,88,TIER1
B92CC8422D1872BCC7FFF08D07B37391DFF4EFE2C114A17D265C604BB6CDD976,88,TIER1
6E18FE3555DCD0EAD738FD81D3F63C7DCFBF4E8886941900E68E2AC9280873DC,111,TIER1
334159CBF6EA280F49FAB67CD8CFC1523939273B90FF7A0349AAF9086CB4AD63,106,TIER1
47B6FEED64B75FAA39F3476E83438CB2C3515701D3FF27B50FA32CEC3FD29033,96,TIER1
0784C159780C1F1EBD9C83B54A807EFAB8D014875EE055514CAAE67BB43E4F28,84,TIER1
37DBEBF058382800C3EC2132B36E4C78AFC0626842885211ED9B5BE9E3C2BB01,98,TIER1
583DD9011325CDB725010A5950A5A88832175EE862236210B142AC3874D6353F,98,TIER1
FE7A4FB816935DA52B4D61B1A3C1E64A6C4C59C92EB67C8AEB835FF8F35C6DC2,100,TIER1
178C6B462B8D86D6FA1E387BB762C7B91123C4EBBEE693FD5BC7619BAFEDE96A,106,TIER1
50FF6725768E823D3D31C571DA0E59B1B61485AC982FE05C4CBC451C2A58F377,88,TIER1
C031295199DEFE5049D4843493D25CE01FB889574E171C8C4E0AD4F3EC3CC505,88,TIER1
2E91B6D8DBA04D1B3A2ACD78176A980DD4BB8241468CEF8B11135063DC89300B,61,TIER1
8C9DB4B1F679805AF3C0A38B6A3F7455C650F9D95900D10C8DD0B1EA6F95E909,93,TIER1
E5170C9956350B50C96D32A5A1B2C114BC61AC0B3C271DD907EF30DD6A5BCDA1,100,TIER1
EFE902EB54FD62ABC3E53FAA7B36C3C8125089EFE91BE2F3F806BDBFB84DD774,111,TIER1
0CE85CD53C07F6D6ED54A0F219D2AD8EFD1BFECF7BB478990B708C878245DD10,115,TIER1
EBB61FF27F876298D1016B2FE455D350BE06C3514FF429DA9ABE1C1BBC8A830C,108,TIER1
9C545665301A29BAA108E5A313659C0FF5E3B7A84505277BADFF3AA4A78F2A42,66,TIER1
C92A318A5400D2E121CDA124EA67C8F7C37194F5BD15B79723EEB66801718235,111,TIER1
C4111E9A1BD82A4D584CEE024DEE3E07CB17E90D1CCB7789A831C5A05F634E95,98,TIER1
9A1923122D76CFD6CE3F59D609FB11FE4D0145C2DE114EAC8C80F232DDEFF23F,100,TIER1
22C98DEE44463139DC11732A59185443E5AA03D804CF628C3C1920E0FF916066,98,TIER1
5FE99D6A484005BB4B59A3BE4E314D1C05B7DC2ED657162B98EE206904703786,66,TIER1
066732387EC415D791867013A5ABAFED1DDC88B8B0CFF1FFBA5ED9EB4033918C,88,TIER1
29582070D328AFC474B37A2D271B38EC460D8D473F760EAA4EB327882DDC6C00,86,TIER1
51A18825189EEDC74B6569F2688C53837AD46D7BC55AA7A0133CCAB0DA26B4E3,90,TIER1
601E53DE8279804EDE7B454A3E825CEA00F4A9FFE3DDA432D6BFD0A05C128798,86,TIER1
BF7D6F8DBE87D9F2EE91EDE28D4951FC77403EBACB14A0C1E83772DCD6CE96C1,108,TIER1
552E45A33BF777112BB6A57A522CCB88E7B86C1B696A229012CF9488C782B7F7,94,TIER1
DF825B9088A5018DEE931550D1058F1B39777692F3EA851D1CD60FAE24A0C0EF,84,TIER1
0C21A043DFC0E21E7D9D210975E459EAD3382713BF0B8F81BD58CB8F9D624A2A,86,TIER1
3E6EBD2006FA35A8C0DE462E9891280675F32AF7610EEADCCCF3CDB719AEFD26,88,TIER1
84CDA190245F872453A29DD22C48BDE5EF89B1D770B54810F3ED8C2D85D8041B,90,TIER1
D9A315172AE469B89DDD8147A106E8A0E7EC00E4C233FA96F57FCC5325B43920,100,TIER1
42A41818DAEC3F1DBC01ECDC298C17CEA1B98A8C151623C713113F9A576547E6,106,TIER1
05DA3DC2A598A1049A58D8FC4B07AE78FC6D3DD56997583793C4C0E638BD00F0,86,TIER1
CE9B80A71978DC12725676F5CB375203279762BD69F860639BA6ABC4457F3043,76,TIER1
204508E001A39483245C3870DB051048121DD866B9DE73C0215D179D67FFDE80,98,TIER1
0F8BC5EC6594BAC72D2DFC72089A6821F27671B6D48899E3136747A66F714781,110,TIER1
786CDE5B380B6E61B78C57BC7CBBB665A9C97DA5283A2C26ED602FBD7A17275E,88,TIER1
2FC3E7DE54B68EA3C263411299720085C8EA8E68560C1DF22881CD20F58DA301,123,TIER1
D2C64CB1055A66B3F306D275EFFF43175C46C9C2AE38B0E7440914FD8EB458D0,86,TIER1
5D13FFF35658A8C6F76A4A2064F2D96A6833495023C50EF371C53D63A8DF495E,98,TIER1
5794A44BFAF374C5C76F2A07550E42FCA20F4A208C1EC29DE0A6BE57E7778C44,64,TIER1
90DB2B495690B01238BBA94B073842CB6A09A9A098F2C3815B9DEB6CD5DC23EA,100,TIER1
A4DCF74207947F9ABFB7F3BF11F98BEE5F4EACE138900C90B7B685FC35A13087,78,TIER1
4445049CC825F939D76F801A210A2AF4CBEAE1202E3BA90F81819B772ADCEB54,86,TIER1
